kelompok,peran,file_proyek,file_sumber
garis-merah-putih,sampul,public/images/katalog/garis-merah-putih/sampul.jpg,IMG-20260919-WA0211.jpg
garis-merah-putih,galeri,public/images/katalog/garis-merah-putih/detail-1.jpg,IMG-20260919-WA0236.jpg
garis-merah-putih,galeri,public/images/katalog/garis-merah-putih/detail-2.jpg,IMG-20260919-WA0247.jpg
garis-merah-putih,galeri,public/images/katalog/garis-merah-putih/detail-3.jpg,IMG-20260919-WA0231.jpg
garis-biru-putih,sampul,public/images/katalog/garis-biru-putih/sampul.jpg,IMG-20260919-WA0292.jpg
garis-biru-putih,galeri,public/images/katalog/garis-biru-putih/detail-1.jpg,IMG-20260919-WA0305.jpg
garis-biru-putih,galeri,public/images/katalog/garis-biru-putih/detail-2.jpg,IMG-20260919-WA0299.jpg
garis-biru-putih,galeri,public/images/katalog/garis-biru-putih/detail-3.jpg,IMG-20260919-WA0298.jpg
ditbinmas-biru,sampul,public/images/katalog/ditbinmas-biru/sampul.jpg,IMG-20260919-WA0285.jpg
ditbinmas-biru,galeri,public/images/katalog/ditbinmas-biru/detail-1.jpg,IMG-20260919-WA0191.jpg
ditbinmas-biru,galeri,public/images/katalog/ditbinmas-biru/detail-2.jpg,IMG-20260919-WA0325.jpg
dpd-wi-hijau,sampul,public/images/katalog/dpd-wi-hijau/sampul.jpg,IMG-20260919-WA0245.jpg
aldenaire-berkerah,sampul,public/images/katalog/aldenaire-berkerah/sampul.jpg,IMG-20260919-WA0318.jpg
aldenaire-berkerah,galeri,public/images/katalog/aldenaire-berkerah/detail-1.jpg,IMG-20260919-WA0317.jpg
aldenaire-berkerah,galeri,public/images/katalog/aldenaire-berkerah/detail-2.jpg,IMG-20260919-WA0315.jpg
aldenaire-tanpa-lengan,sampul,public/images/katalog/aldenaire-tanpa-lengan/sampul.jpg,IMG-20260919-WA0214.jpg
aldenaire-tanpa-lengan,galeri,public/images/katalog/aldenaire-tanpa-lengan/detail-1.jpg,IMG-20260919-WA0316.jpg
aldenaire-tanpa-lengan,galeri,public/images/katalog/aldenaire-tanpa-lengan/detail-2.jpg,IMG-20260919-WA0312.jpg
mium-room-marun,sampul,public/images/katalog/mium-room-marun/sampul.jpg,IMG-20260919-WA0210.jpg
mium-room-marun,galeri,public/images/katalog/mium-room-marun/detail-1.jpg,IMG-20260919-WA0296.jpg
mium-room-marun,galeri,public/images/katalog/mium-room-marun/detail-2.jpg,IMG-20260919-WA0271.jpg
h-kadang-berkerah,sampul,public/images/katalog/h-kadang-berkerah/sampul.jpg,IMG-20260919-WA0291.jpg
h-kadang-berkerah,galeri,public/images/katalog/h-kadang-berkerah/detail-1.jpg,IMG-20260919-WA0266.jpg
h-kadang-berkerah,galeri,public/images/katalog/h-kadang-berkerah/detail-2.jpg,IMG-20260919-WA0280.jpg
h-kadang-berkerah,galeri,public/images/katalog/h-kadang-berkerah/detail-3.jpg,IMG-20260919-WA0306.jpg
h-kadang-tanpa-lengan,sampul,public/images/katalog/h-kadang-tanpa-lengan/sampul.jpg,IMG-20260919-WA0323.jpg
rpai-biru-putih,sampul,public/images/katalog/rpai-biru-putih/sampul.jpg,IMG-20260919-WA0265.jpg
rpai-biru-putih,galeri,public/images/katalog/rpai-biru-putih/detail-1.jpg,IMG-20260919-WA0274.jpg
milkman-motor,sampul,public/images/katalog/milkman-motor/sampul.jpg,IMG-20260919-WA0322.jpg
milkman-motor,galeri,public/images/katalog/milkman-motor/detail-1.jpg,IMG-20260919-WA0321.jpg
milkman-motor,galeri,public/images/katalog/milkman-motor/detail-2.jpg,IMG-20260919-WA0326.jpg
nineball-hitam,sampul,public/images/katalog/nineball-hitam/sampul.jpg,IMG-20260919-WA0324.jpg
nineball-hitam,galeri,public/images/katalog/nineball-hitam/detail-1.jpg,IMG-20260919-WA0234.jpg
setelan-teal,sampul,public/images/katalog/setelan-teal/sampul.jpg,IMG-20260919-WA0320.jpg
kaos-grafis-hitam,sampul,public/images/katalog/kaos-grafis-hitam/sampul.jpg,IMG-20260919-WA0227.jpg
kaos-atharva,sampul,public/images/katalog/kaos-atharva/sampul.jpg,IMG-20260919-WA0228.jpg
kaos-atharva,galeri,public/images/katalog/kaos-atharva/detail-1.jpg,IMG-20260919-WA0294.jpg
kaos-biru-royal,sampul,public/images/katalog/kaos-biru-royal/sampul.jpg,IMG-20260919-WA0248.jpg
kaos-biru-royal,galeri,public/images/katalog/kaos-biru-royal/detail-1.jpg,IMG-20260919-WA0229.jpg
kaos-olive,sampul,public/images/katalog/kaos-olive/sampul.jpg,IMG-20260919-WA0288.jpg
kaos-olive,galeri,public/images/katalog/kaos-olive/detail-1.jpg,IMG-20260919-WA0263.jpg
grafis-putih-biru,sampul,public/images/katalog/grafis-putih-biru/sampul.jpg,IMG-20260919-WA0310.jpg
grafis-putih-biru,galeri,public/images/katalog/grafis-putih-biru/detail-1.jpg,IMG-20260919-WA0255.jpg
